File,Pressure_mTorr,Voltage_kV,Current_A,rat1,rat2,rat4,rat5,w630,w880
16p3mTorr_0.41kV_50A_spectrum_data.csv,16.3,41.0,50.0,5.537614535378285,2.498827212351744,0.45620472401809625,0.0005796936316067125,267.4555667506433,18.609555676647247
36p3mTorr_0.40kV_20A_spectrum_data.csv,36.3,40.0,20.0,0.0,,0.0,,0.0,0.0
27p7mTorr_0.48kV_100A_spectrum_data.csv,27.7,48.0,100.0,3.726623284905298,2.4413587350628463,0.5760084589903258,4.71250318316065,7.354935451885563,13.94688651546649
106mTorr_0.36kV_20A_spectrum_data.csv,106.0,36.0,20.0,3.354993088075595,3006.608422484315,0.2816048968556406,1.4511315758146535e-05,1272.5894579836895,444.5281856867026
24p3mTorr_0.51kV_70A_spectrum_data.csv,24.3,51.0,70.0,0.4737087759536299,1.5200705573062097,0.9455542686979584,2.7458697513438923,11.160243202182627,12.998224268806146
35p6mTorr_0.46kV_50A_spectrum_data.csv,35.6,46.0,50.0,2.5800857735892126e-05,2.4707240279082234,0.7472203716391093,6.684358485168268,7.657669366209494,10.493570919550796
107mTorr_0.36kV_35A_spectrum_data.csv,107.0,36.0,35.0,0.049601267358967104,0.9886254319699428,1.1969964245883493,1.9967682287186452,11.497124216004162,12.434303294381989
25p1mTorr_0.46kV_40A_spectrum_data.csv,25.1,46.0,40.0,1.863456110005746,1.8578609179888934,0.6753112223629201,2.503526991735022,7.496771741888929,9.122374612011006
35p3mTorr_0.43kV_30A_spectrum_data.csv,35.3,43.0,30.0,1.2092844348028327,16457.468312997727,0.15116920721954413,,0.0,593.7175498737498
107mTorr_0.38kV_85A_spectrum_data.csv,107.0,38.0,85.0,1.5805661763328902,1.5252295963878737,1.3223587293461565,1.2972407375021628,13.663871866057674,13.596625349640707
93p9mTorr_0.35kV_30A_spectrum_data.csv,93.9,35.0,30.0,1.0577841667634509,0.2206189205613976,3.6728532384891674,,0.0,6.340038441221401
20p0mTorr_0.50kV_80A_spectrum_data.csv,20.0,50.0,80.0,0.0,1.8496383005836132,0.0,,0.0,8.938661480651362
172mTorr_0.45kV_65A_spectrum_data.csv,172.0,45.0,65.0,0.25098555133142697,0.0,0.9564346768394654,0.8967094309482431,6.271407032502381,0.0
