# DC Glow Discharge Radial Solver — Air Plasma
# Cathode radius   : 23.145 mm
# Chamber radius   : 140.0 mm
# Current          : 20.00 mA
# Cathode voltage  : -550.0 V
# Pressure         : 0.0400 Torr
# Gas              : Air (80% N2 / 20% O2)
#
# Columns
#   r_m    — radial position [m]
#   r_mm   — radial position [mm]
#   ne_m3  — electron density [m^-3]
#   ne_cm3 — electron density [cm^-3]
#   ni_m3  — ion density [m^-3]
#   ni_cm3 — ion density [cm^-3]
#   Te_eV  — electron temperature [eV]
#   phi_V  — electric potential [V]
#   E_Vm   — radial electric field [V/m]
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
4.042431e-02,40.4243,1.327702e+16,1.327702e+10,1.396352e+16,1.396352e+10,1.4268,-328.0702,-3294.6814
4.071718e-02,40.7172,1.327141e+16,1.327141e+10,1.395376e+16,1.395376e+10,1.4249,-327.1053,-3294.6814
4.101005e-02,41.0101,1.326806e+16,1.326806e+10,1.394614e+16,1.394614e+10,1.4230,-326.1404,-3294.6814
4.130292e-02,41.3029,1.326666e+16,1.326666e+10,1.394034e+16,1.394034e+10,1.4211,-325.1754,-3294.6814
4.159579e-02,41.5958,1.326692e+16,1.326692e+10,1.393609e+16,1.393609e+10,1.4192,-324.2105,-3294.6814
4.188866e-02,41.8887,1.326858e+16,1.326858e+10,1.393315e+16,1.393315e+10,1.4173,-323.2456,-3294.6814
4.218153e-02,42.1815,1.327141e+16,1.327141e+10,1.393131e+16,1.393131e+10,1.4155,-322.2807,-3294.6814
4.247440e-02,42.4744,1.327521e+16,1.327521e+10,1.393039e+16,1.393039e+10,1.4137,-321.3158,-3294.6814
4.276727e-02,42.7673,1.327980e+16,1.327980e+10,1.393021e+16,1.393021e+10,1.4119,-320.3509,-3294.6814
4.306014e-02,43.0601,1.328504e+16,1.328504e+10,1.393064e+16,1.393064e+10,1.4101,-319.3860,-3294.6814
4.335301e-02,43.3530,1.329077e+16,1.329077e+10,1.393155e+16,1.393155e+10,1.4083,-318.4211,-3294.6814
4.364588e-02,43.6459,1.329689e+16,1.329689e+10,1.393283e+16,1.393283e+10,1.4066,-317.4561,-3294.6814
4.393875e-02,43.9387,1.330329e+16,1.330329e+10,1.393438e+16,1.393438e+10,1.4049,-316.4912,-3294.6814
4.423162e-02,44.2316,1.330988e+16,1.330988e+10,1.393613e+16,1.393613e+10,1.4031,-315.5263,-3294.6814
4.452449e-02,44.5245,1.331659e+16,1.331659e+10,1.393801e+16,1.393801e+10,1.4015,-314.5614,-3294.6814
4.481736e-02,44.8174,1.332334e+16,1.332334e+10,1.393994e+16,1.393994e+10,1.3998,-313.5965,-3294.6814
4.511023e-02,45.1102,1.333009e+16,1.333009e+10,1.394190e+16,1.394190e+10,1.3981,-312.6316,-3294.6814
4.540310e-02,45.4031,1.333677e+16,1.333677e+10,1.394382e+16,1.394382e+10,1.3965,-311.6667,-3294.6814
4.569596e-02,45.6960,1.334336e+16,1.334336e+10,1.394567e+16,1.394567e+10,1.3948,-310.7018,-3294.6814
4.598883e-02,45.9888,1.334981e+16,1.334981e+10,1.394742e+16,1.394742e+10,1.3932,-309.7368,-3294.6814
4.628170e-02,46.2817,1.335611e+16,1.335611e+10,1.394905e+16,1.394905e+10,1.3916,-308.7719,-3294.6814
4.657457e-02,46.5746,1.336221e+16,1.336221e+10,1.395053e+16,1.395053e+10,1.3900,-307.8070,-3294.6814
4.686744e-02,46.8674,1.336812e+16,1.336812e+10,1.395185e+16,1.395185e+10,1.3885,-306.8421,-3294.6814
4.716031e-02,47.1603,1.337379e+16,1.337379e+10,1.395299e+16,1.395299e+10,1.3869,-305.8772,-3294.6814
4.745318e-02,47.4532,1.337924e+16,1.337924e+10,1.395394e+16,1.395394e+10,1.3854,-304.9123,-3294.6814
4.774605e-02,47.7461,1.338444e+16,1.338444e+10,1.395468e+16,1.395468e+10,1.3839,-303.9474,-3294.6814
4.803892e-02,48.0389,1.338938e+16,1.338938e+10,1.395522e+16,1.395522e+10,1.3824,-302.9825,-3294.6814
4.833179e-02,48.3318,1.339407e+16,1.339407e+10,1.395555e+16,1.395555e+10,1.3809,-302.0175,-3294.6814
4.862466e-02,48.6247,1.339849e+16,1.339849e+10,1.395566e+16,1.395566e+10,1.3794,-301.0526,-3294.6814
4.891753e-02,48.9175,1.340265e+16,1.340265e+10,1.395555e+16,1.395555e+10,1.3779,-300.0877,-3294.6814
4.921040e-02,49.2104,1.340653e+16,1.340653e+10,1.395522e+16,1.395522e+10,1.3765,-299.1228,-3294.6814
4.950327e-02,49.5033,1.341015e+16,1.341015e+10,1.395467e+16,1.395467e+10,1.3751,-298.1579,-3294.6814
4.979614e-02,49.7961,1.341349e+16,1.341349e+10,1.395389e+16,1.395389e+10,1.3737,-297.1930,-3294.6814
5.008901e-02,50.0890,1.341657e+16,1.341657e+10,1.395289e+16,1.395289e+10,1.3723,-296.2281,-3294.6814
5.038188e-02,50.3819,1.341938e+16,1.341938e+10,1.395167e+16,1.395167e+10,1.3709,-295.2632,-3294.6814
5.067475e-02,50.6747,1.342192e+16,1.342192e+10,1.395023e+16,1.395023e+10,1.3695,-294.2982,-3294.6814
5.096762e-02,50.9676,1.342419e+16,1.342419e+10,1.394857e+16,1.394857e+10,1.3681,-293.3333,-3294.6814
5.126049e-02,51.2605,1.342621e+16,1.342621e+10,1.394669e+16,1.394669e+10,1.3668,-292.3684,-3294.6814
5.155336e-02,51.5534,1.342796e+16,1.342796e+10,1.394460e+16,1.394460e+10,1.3654,-291.4035,-3294.6814
5.184623e-02,51.8462,1.342946e+16,1.342946e+10,1.394229e+16,1.394229e+10,1.3641,-290.4386,-3294.6814
5.213910e-02,52.1391,1.343070e+16,1.343070e+10,1.393977e+16,1.393977e+10,1.3628,-289.4737,-3294.6814
5.243197e-02,52.4320,1.343168e+16,1.343168e+10,1.393704e+16,1.393704e+10,1.3615,-288.5088,-3294.6814
5.272484e-02,52.7248,1.343242e+16,1.343242e+10,1.393411e+16,1.393411e+10,1.3602,-287.5439,-3294.6814
5.301771e-02,53.0177,1.343292e+16,1.343292e+10,1.393097e+16,1.393097e+10,1.3590,-286.5789,-3294.6814
5.331058e-02,53.3106,1.343317e+16,1.343317e+10,1.392763e+16,1.392763e+10,1.3577,-285.6140,-3294.6814
5.360345e-02,53.6034,1.343318e+16,1.343318e+10,1.392409e+16,1.392409e+10,1.3565,-284.6491,-3294.6814
5.389632e-02,53.8963,1.343295e+16,1.343295e+10,1.392036e+16,1.392036e+10,1.3552,-283.6842,-3294.6814
