# pressure = 0.5
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
6.356102e-02,63.5610,1.746619e+16,1.746619e+10,2.547367e+16,2.547367e+10,1.3118,-251.8421,-3294.6814
6.385388e-02,63.8539,1.742507e+16,1.742507e+10,2.541392e+16,2.541392e+10,1.3109,-250.8772,-3294.6814
6.414675e-02,64.1468,1.738425e+16,1.738425e+10,2.535458e+16,2.535458e+10,1.3101,-249.9123,-3294.6814
6.443962e-02,64.4396,1.734372e+16,1.734372e+10,2.529567e+16,2.529567e+10,1.3092,-248.9474,-3294.6814
6.473249e-02,64.7325,1.730348e+16,1.730348e+10,2.523717e+16,2.523717e+10,1.3084,-247.9825,-3294.6814
6.502536e-02,65.0254,1.726354e+16,1.726354e+10,2.517908e+16,2.517908e+10,1.3075,-247.0175,-3294.6814
6.531823e-02,65.3182,1.722388e+16,1.722388e+10,2.512141e+16,2.512141e+10,1.3067,-246.0526,-3294.6814
6.561110e-02,65.6111,1.718450e+16,1.718450e+10,2.506415e+16,2.506415e+10,1.3059,-245.0877,-3294.6814
6.590397e-02,65.9040,1.714541e+16,1.714541e+10,2.500729e+16,2.500729e+10,1.3051,-244.1228,-3294.6814
6.619684e-02,66.1968,1.710660e+16,1.710660e+10,2.495084e+16,2.495084e+10,1.3042,-243.1579,-3294.6814
6.648971e-02,66.4897,1.706808e+16,1.706808e+10,2.489479e+16,2.489479e+10,1.3034,-242.1930,-3294.6814
6.678258e-02,66.7826,1.702982e+16,1.702982e+10,2.483913e+16,2.483913e+10,1.3027,-241.2281,-3294.6814
6.707545e-02,67.0755,1.699185e+16,1.699185e+10,2.478387e+16,2.478387e+10,1.3019,-240.2632,-3294.6814
6.736832e-02,67.3683,1.695415e+16,1.695415e+10,2.472901e+16,2.472901e+10,1.3011,-239.2982,-3294.6814
6.766119e-02,67.6612,1.691672e+16,1.691672e+10,2.467453e+16,2.467453e+10,1.3003,-238.3333,-3294.6814
6.795406e-02,67.9541,1.687956e+16,1.687956e+10,2.462045e+16,2.462045e+10,1.2996,-237.3684,-3294.6814
6.824693e-02,68.2469,1.684267e+16,1.684267e+10,2.456674e+16,2.456674e+10,1.2988,-236.4035,-3294.6814
6.853980e-02,68.5398,1.680604e+16,1.680604e+10,2.451342e+16,2.451342e+10,1.2981,-235.4386,-3294.6814
6.883267e-02,68.8327,1.676968e+16,1.676968e+10,2.446048e+16,2.446048e+10,1.2973,-234.4737,-3294.6814
6.912554e-02,69.1255,1.673358e+16,1.673358e+10,2.440791e+16,2.440791e+10,1.2966,-233.5088,-3294.6814
6.941841e-02,69.4184,1.669773e+16,1.669773e+10,2.435571e+16,2.435571e+10,1.2959,-232.5439,-3294.6814
6.971128e-02,69.7113,1.666215e+16,1.666215e+10,2.430389e+16,2.430389e+10,1.2952,-231.5789,-3294.6814
7.000415e-02,70.0041,1.662682e+16,1.662682e+10,2.425242e+16,2.425242e+10,1.2944,-230.6140,-3294.6814
7.029702e-02,70.2970,1.659174e+16,1.659174e+10,2.420133e+16,2.420133e+10,1.2937,-229.6491,-3294.6814
7.058989e-02,70.5899,1.655691e+16,1.655691e+10,2.415059e+16,2.415059e+10,1.2931,-228.6842,-3294.6814
7.088276e-02,70.8828,1.652233e+16,1.652233e+10,2.410020e+16,2.410020e+10,1.2924,-227.7193,-3294.6814
7.117563e-02,71.1756,1.648799e+16,1.648799e+10,2.405017e+16,2.405017e+10,1.2917,-226.7544,-3294.6814
7.146850e-02,71.4685,1.645390e+16,1.645390e+10,2.400049e+16,2.400049e+10,1.2910,-225.7895,-3294.6814
7.176137e-02,71.7614,1.642004e+16,1.642004e+10,2.395115e+16,2.395115e+10,1.2903,-224.8246,-3294.6814
7.205424e-02,72.0542,1.638643e+16,1.638643e+10,2.390216e+16,2.390216e+10,1.2897,-223.8596,-3294.6814
7.234711e-02,72.3471,1.635304e+16,1.635304e+10,2.385350e+16,2.385350e+10,1.2890,-222.8947,-3294.6814
7.263997e-02,72.6400,1.631989e+16,1.631989e+10,2.380517e+16,2.380517e+10,1.2884,-221.9298,-3294.6814
7.293284e-02,72.9328,1.628697e+16,1.628697e+10,2.375718e+16,2.375718e+10,1.2877,-220.9649,-3294.6814
7.322571e-02,73.2257,1.625428e+16,1.625428e+10,2.370951e+16,2.370951e+10,1.2871,-220.0000,-3294.6814
7.351858e-02,73.5186,1.622181e+16,1.622181e+10,2.366216e+16,2.366216e+10,1.2865,-219.0351,-3294.6814
7.381145e-02,73.8115,1.618956e+16,1.618956e+10,2.361513e+16,2.361513e+10,1.2858,-218.0702,-3294.6814
7.410432e-02,74.1043,1.615753e+16,1.615753e+10,2.356841e+16,2.356841e+10,1.2852,-217.1053,-3294.6814
7.439719e-02,74.3972,1.612571e+16,1.612571e+10,2.352200e+16,2.352200e+10,1.2846,-216.1404,-3294.6814
7.469006e-02,74.6901,1.609410e+16,1.609410e+10,2.347590e+16,2.347590e+10,1.2840,-215.1754,-3294.6814
7.498293e-02,74.9829,1.606271e+16,1.606271e+10,2.343010e+16,2.343010e+10,1.2834,-214.2105,-3294.6814
7.527580e-02,75.2758,1.603152e+16,1.603152e+10,2.338460e+16,2.338460e+10,1.2828,-213.2456,-3294.6814
7.556867e-02,75.5687,1.600053e+16,1.600053e+10,2.333938e+16,2.333938e+10,1.2822,-212.2807,-3294.6814
7.586154e-02,75.8615,1.596975e+16,1.596975e+10,2.329446e+16,2.329446e+10,1.2817,-211.3158,-3294.6814
7.615441e-02,76.1544,1.593916e+16,1.593916e+10,2.324982e+16,2.324982e+10,1.2811,-210.3509,-3294.6814
7.644728e-02,76.4473,1.590876e+16,1.590876e+10,2.320546e+16,2.320546e+10,1.2805,-209.3860,-3294.6814
7.674015e-02,76.7402,1.587856e+16,1.587856e+10,2.316137e+16,2.316137e+10,1.2800,-208.4211,-3294.6814
7.703302e-02,77.0330,1.584855e+16,1.584855e+10,2.311756e+16,2.311756e+10,1.2794,-207.4561,-3294.6814
7.732589e-02,77.3259,1.581872e+16,1.581872e+10,2.307401e+16,2.307401e+10,1.2788,-206.4912,-3294.6814
7.761876e-02,77.6188,1.578907e+16,1.578907e+10,2.303072e+16,2.303072e+10,1.2783,-205.5263,-3294.6814
7.791163e-02,77.9116,1.575960e+16,1.575960e+10,2.298769e+16,2.298769e+10,1.2778,-204.5614,-3294.6814
7.820450e-02,78.2045,1.573030e+16,1.573030e+10,2.294491e+16,2.294491e+10,1.2772,-203.5965,-3294.6814
7.849737e-02,78.4974,1.570118e+16,1.570118e+10,2.290238e+16,2.290238e+10,1.2767,-202.6316,-3294.6814
7.879024e-02,78.7902,1.567223e+16,1.567223e+10,2.286009e+16,2.286009e+10,1.2762,-201.6667,-3294.6814
7.908311e-02,79.0831,1.564344e+16,1.564344e+10,2.281805e+16,2.281805e+10,1.2756,-200.7018,-3294.6814
7.937598e-02,79.3760,1.561482e+16,1.561482e+10,2.277623e+16,2.277623e+10,1.2751,-199.7368,-3294.6814
7.966885e-02,79.6688,1.558636e+16,1.558636e+10,2.273465e+16,2.273465e+10,1.2746,-198.7719,-3294.6814
7.996172e-02,79.9617,1.555806e+16,1.555806e+10,2.269330e+16,2.269330e+10,1.2741,-197.8070,-3294.6814
8.025459e-02,80.2546,1.552990e+16,1.552990e+10,2.265216e+16,2.265216e+10,1.2736,-196.8421,-3294.6814
8.054746e-02,80.5475,1.550191e+16,1.550191e+10,2.261125e+16,2.261125e+10,1.2731,-195.8772,-3294.6814
8.084033e-02,80.8403,1.547406e+16,1.547406e+10,2.257054e+16,2.257054e+10,1.2726,-194.9123,-3294.6814
8.113320e-02,81.1332,1.544635e+16,1.544635e+10,2.253005e+16,2.253005e+10,1.2722,-193.9474,-3294.6814
8.142607e-02,81.4261,1.541879e+16,1.541879e+10,2.248976e+16,2.248976e+10,1.2717,-192.9825,-3294.6814
8.171893e-02,81.7189,1.539136e+16,1.539136e+10,2.244967e+16,2.244967e+10,1.2712,-192.0175,-3294.6814
8.201180e-02,82.0118,1.536408e+16,1.536408e+10,2.240978e+16,2.240978e+10,1.2707,-191.0526,-3294.6814
8.230467e-02,82.3047,1.533692e+16,1.533692e+10,2.237008e+16,2.237008e+10,1.2703,-190.0877,-3294.6814
8.259754e-02,82.5975,1.530990e+16,1.530990e+10,2.233057e+16,2.233057e+10,1.2698,-189.1228,-3294.6814
8.289041e-02,82.8904,1.528301e+16,1.528301e+10,2.229124e+16,2.229124e+10,1.2693,-188.1579,-3294.6814
8.318328e-02,83.1833,1.525624e+16,1.525624e+10,2.225209e+16,2.225209e+10,1.2689,-187.1930,-3294.6814
8.347615e-02,83.4762,1.522959e+16,1.522959e+10,2.221312e+16,2.221312e+10,1.2684,-186.2281,-3294.6814
8.376902e-02,83.7690,1.520306e+16,1.520306e+10,2.217432e+16,2.217432e+10,1.2680,-185.2632,-3294.6814
8.406189e-02,84.0619,1.517665e+16,1.517665e+10,2.213569e+16,2.213569e+10,1.2676,-184.2982,-3294.6814
8.435476e-02,84.3548,1.515036e+16,1.515036e+10,2.209723e+16,2.209723e+10,1.2671,-183.3333,-3294.6814
8.464763e-02,84.6476,1.512417e+16,1.512417e+10,2.205892e+16,2.205892e+10,1.2667,-182.3684,-3294.6814
8.494050e-02,84.9405,1.509810e+16,1.509810e+10,2.202077e+16,2.202077e+10,1.2663,-181.4035,-3294.6814
8.523337e-02,85.2334,1.507213e+16,1.507213e+10,2.198278e+16,2.198278e+10,1.2659,-180.4386,-3294.6814
8.552624e-02,85.5262,1.504627e+16,1.504627e+10,2.194493e+16,2.194493e+10,1.2654,-179.4737,-3294.6814
8.581911e-02,85.8191,1.502051e+16,1.502051e+10,2.190723e+16,2.190723e+10,1.2650,-178.5088,-3294.6814
8.611198e-02,86.1120,1.499485e+16,1.499485e+10,2.186968e+16,2.186968e+10,1.2646,-177.5439,-3294.6814
8.640485e-02,86.4048,1.496928e+16,1.496928e+10,2.183226e+16,2.183226e+10,1.2642,-176.5789,-3294.6814
8.669772e-02,86.6977,1.494381e+16,1.494381e+10,2.179498e+16,2.179498e+10,1.2638,-175.6140,-3294.6814
8.699059e-02,86.9906,1.491843e+16,1.491843e+10,2.175784e+16,2.175784e+10,1.2634,-174.6491,-3294.6814
